Kitchen and dining room,ห้องครัวและห้องอาหาร
Payment Option,ตัวเลือกการชำระเงิน
Furniture Set,ชุดเฟอร์นิเจอร์
Buy from other platform,ซื้อจากแพลตฟอร์มอื่น
About us,เกี่ยวกับเรา
About Us,เกี่ยวกับ
WEBSITE MENU,เมนูเว็บไซต์
HELP,ช่วย
HOTLINE,สายด่วน
Request a tax invoice,ขอใบกำกับภาษี
Name,ชื่อ
Company name/shop name,ชื่อบริษัท/ชื่อร้าน
Tax Identification Number,หมายเลขประจำตัวผู้เสียภาษี
Address,ที่อยู่
Receipt Number,เลขที่ใบเสร็จ
Email,อีเมล
Note,บันทึก
Send Information,ส่งข้อมูล
need a tax invoice Please fill out your information completely,ต้องการใบกำกับภาษี กรุณากรอกข้อมูลให้ครบถ้วน
Phone,โทรศัพท์
Transfer Date,วันที่โอน
Purchase Order Number,เลขที่ใบสั่งซื้อ
Transfer Proof Image,โอนภาพหลักฐาน
payslip,ใบแจ้งการชำระเงิน
Tax Invoice,ใบกำกับภาษี
Payment,วิธีการสั่งซื้อ
Order Channel,ช่องทางการสั่งซื้อ
How to order,วิธีการสั่งซื้อ
Payment method,ช่องทางการชำระเงิน
Ask for more information about the product.,สอบถามรายละเอียดเพิ่มเติมเกี่ยวกับสินค้า,
Ship Here,จัดส่งที่นี่
New Address,ที่อยู่ใหม่
Go to Checkout,ไปเช็คเอาท์
View Cart,ดูตะกร้า
Flash sales,แฟลชเซลล์
You are signed out,คุณออกจากระบบแล้ว
Check Out with Multiple Addresses,ชำระเงินด้วยที่อยู่หลายแห่ง
Are you sure you would like to remove this item from the shopping cart?,คุณแน่ใจหรือไม่ว่าต้องการลบสินค้านี้ออกจากตะกร้าสินค้า?
Incorrect CAPTCHA,แจ้งลบความคิดเห็นที่ไม่ถูกต้อง
Paysolutions,การจ่ายเงิน
Line 1,สาย 1
No Payment Information Required,ไม่จำเป็นต้องมีข้อมูลการชำระเงิน
Check / Money order,เช็ค / ธนาณัติ
Bank Transfer Payment,ชำระเงินด้วยการโอนเงินผ่านธนาคาร
Cash On Delivery,เงินสดในการจัดส่ง
Purchase Order,ใบสั่งซื้อ
Order Total,ยอดสั่งซื้อ
PayPal Express Checkout,ชำระเงินด่วนของ PayPal
What is PayPal?,PayPal คืออะไร?
Free Shipping,จัดส่งฟรี
Free,ฟรี
Continue with,ต่อด้วย
Continue with Google,ดำเนินการต่อด้วย Google
Line,เส้น
In-Store Delivery is not available. To use this delivery method, please contact us.,ไม่มีบริการจัดส่งภายในร้าน หากต้องการใช้วิธีการจัดส่งนี้ โปรดติดต่อเรา
You have signed out and will go to our homepage in 5 seconds.,คุณได้ออกจากระบบและจะไปยังหน้าแรกของเราใน 5 วินาที
The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.,การลงชื่อเข้าใช้บัญชีไม่ถูกต้องหรือบัญชีของคุณถูกปิดใช้งานชั่วคราว โปรดรอและลองอีกครั้งในภายหลัง
Shipping Address,ที่อยู่จัดส่ง
This shipping method is not available. To use this shipping method, please contact us.,วิธีการจัดส่งนี้ไม่สามารถใช้ได้ หากต้องการใช้วิธีการจัดส่งนี้ โปรดติดต่อเรา
There is already an account with this email address. If you are sure that it is your email address, click here to get your password and access your account.,มีบัญชีที่ใช้ที่อยู่อีเมลนี้อยู่แล้ว หากคุณแน่ใจว่านี่คือที่อยู่อีเมลของคุณ คลิกที่นี่เพื่อรับรหัสผ่านและเข้าถึงบัญชีของคุณ
Chat + buy via LINE,แชท + ซื้อ ผ่าน LINE
Place Order,ซื้อเลย
Company,บริษัท
District,อำเภอ/เขต
Sub district,ตำบล/แขวง
"Please check the shipping address information.","โปรดตรวจสอบข้อมูลที่อยู่จัดส่ง."
